PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
E3444-00070-2014-BP01|ADDITION AND ALTERATION TO AN EXISTING 3-STOREY DETACHED DWELLING HOUSE ON LOT 2225L MK19 AT 5 SPRINGSIDE AVENUE (YISHUN PLANNING AREA)|201547118|03/06/2015|136|300000|0
E2582-00005-2013-BP01|RECONSTRUCTION OF THE EXISTING 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 02406M MK 18 AT 37 JALAN MINGGU (BISHAN PLANNING AREA)|201547119|03/06/2015|222|600000|1
E1615-00026-2014-BP01|INSTALLATION OF A NEW LIFT TO THE EXISTING 2-STOREY HOUSE ON LOT 6301W MK 25 AT 787A MOUNTBATTEN ROAD|201547120|03/06/2015|2|60000|0
A0854-00240-2013-BP02|ADDITIONS & ALTERATIONS INVOLVING NEW LIFT TO EXISTING BLOCK 190 (MULTI-STOREY CARPARK) ON LOT 08096N MK17 AT LOR 6 TOA PAYOH (D&B UPGRADING PROJECT FOR G16B)|201547122|03/06/2015|0|0|0
A1283-01914-2014-BP01|PROPOSED COVERED LINKWAY FROM EXISTING SIDE GATE OF ZHENGHUA SECONDARY SCHOOL TO EXISTING ENTRANCE GATE OF WEST SPRING PRIMARY SCHOOL ON LOTS 01354W & 01711V MK 14 ALONG BUKIT PANJANG RING ROAD AND SEGAR CLOSE|201547123|03/06/2015|422|258000|0
A2081-88124-2012-BP01|RECONSTRUCTION TO AN EXISITNG 2-STOREY CORNER TERRACEHOUSE TO A NEW 3-STOREY CORNER TERRACE HOUSE ON LOT 2412 MK06 ATHOUSE 124 YUNNAN CRESCENT|201547125|03/06/2015|619|1300000|1
A0768-00005-2014-BP01|ADDITIONS AND ALTERATIONS TO THE 4 UNITS OF EXISTING 2-STOREY CONSERVED SHOPHOUSES FOR USE AS AN EATING ESTABLISHMENT WITH RETAIL ON LOT(S) 00408X, 00409L, 00410N & 00411X TS14 AT SULTAN GATE|201547126|03/06/2015|505|550000|0
E4004-00002-2009-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING MEDICAL BLOCK MD7 INVOLVING REPLACEMENT OF STAIRCASES RAILINGS & REPLACEMENT OF STAIRCASES ROOF COVERS TO THE EXISTING YONG LOO LIN SCHOOL OF MEDICINE WITHIN NATIONAL UNIVERSITY OF SINGAPORE ON LOT(S) 04343A MK03 AT 10 KENT RIDGE CRESCENT #03-00 MD7 SINGAPORE 117587|201547127|03/06/2015|0|30000|0
E3407-00033-2013-BP01|RECONSTRUCTION OF SEAWALL AND RAMP AT SAF FERRY TERMINAL ON LOTS 00561T & 00560P MUKIM 31 AT NICOLL DRIVE|201547128|03/06/2015|700|4500000|0
A0711-02127-2013-BP01|RECONSTRUCTIONOF EXISTING 2-STOREY TERRACE  DWELLING HOUSE TO 3-STOREY DWELLING HOUSE ON LOT 00647C MK 05 AT 72 JALAN MAS KUNING|201547129|03/06/2015|0|0|0
A1840-00905-2010-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 5190N  MK27 AT 67 SENNETT LANE|201547130|03/06/2015|596|1819000|1
E2501-00021-2014-ST01|PROPOSED RETAINING WALL FOR PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 97172M MK 18 AT NO. 46 CARISBROOKE GROOVE|201547131|04/06/2015|0|0|1
A1456-00117-2010-BP01|ADDITION & ALTERATION WORKS TO EXISTING 4-STOREY SINGLE USER INDUSTRIAL DEVELOPMENT AT NO.6A, WAN LEE ROAD ON LOT 01812C  MK06 AT 6A WAN LEE ROAD|201547133|04/06/2015|1206|400000|0
E1799-00013-2014-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02221T MK 18 AT 32 MEDWAY DRIVE|201547134|04/06/2015|6|300000|0
A1450-01226-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND A SWIMMING POOL ON LOT 10473A MK 17 AT 54  JALAN BAHASA (NOVENA PLANNING AREA)|201547138|04/06/2015|943|4000000|0
A0817-00512-2011-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING PUBLIC HOUSING DEVELOPMENT BLOCK 268 WITH NEW LIFTS/ LOBBIES (LIFT C) ON LOT(S) 12246W  MK18 AT 268 BISHAN STREET 24|201547139|04/06/2015|21|154971|0
E3206-05224-2014-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SINGLE-STOREY SINGLE USER INDUSTRIAL DEVELOPMENT WITH MEZZANINE FLOOR ON LOT 00976W MK 07 AT 40 TUAS AVENUE 9|201547140|04/06/2015|246|450000|0
A1658-00012-2012-BP01|NEW ERECTION OF A  3-STOREY CORNER TERRACE DWELLING HOUSE WITH  AN ATTIC AND A SWIMMING POOL ON LOT(S) 00352X MK 28 AT 15 JALAN LAPANG|201547141|04/06/2015|476|800000|1
A1860-01152-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT & A SWIMMING POOL ON LOT 01661A TS24 AT 1 JERVOIS HILL|201547142|04/06/2015|1466|6000000|1
A2170-00001-2013-BP01|NEW ERECTION OF A 3-STOREY SEMI DETACHED DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 02457P MK 18 AT 22 JALAN KHAMIS (BISHAN PLANNING AREA)|201547143|05/06/2015|0|0|0
A0779-00914-2009-BP01|INTEGRATED COMMERCIAL & RESIDENTIAL DEVELOPMENT COMPRISING 7 BLOCKS OF 5-STOREY RESIDENTIAL (CONDOMINIUM) BUILDING (TOTAL 319 RESIDENTIAL UNITS) WITH PROVISION OF BASEMENT CARPARKS, A SWIMMING POOL & COMMUNAL FACILITIES AND 2-STOREY COMMERCIAL BU ON LOT 17047L MK18 AT SELETAR ROAD|201547144|05/06/2015|48585|82800000|319
A0980-40428-2013-BP01|A&A TO EXISTING 38TH STOREY OF THE CONCOURSE ON LOT 01110V TS 13 AT 300 BEACH ROAD|201547146|05/06/2015|101|138063|0
E3306-00218-2011-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING SINGLE STOREY AND SINGLE USER FACTORY WITH ANCILLARY OFFICE AT MEZZANINE FLOOR WITH NEW EXTENSION OF SINGLE STOREY PRODUCTION AREA ON LOT 1311P MK 7 AT 19 TUAS AVENUE 4|201547147|05/06/2015|1330|300000|0
A1629-03612-2013-BP01|ADDITION AND ALTERATION TO EXISTING LOBBY AND RELOCATION OF FIRE STAIRCASE AND HOLDING AREA AND ERECTION OF COVERED LINKWAY AT HANGAR 2 ON LOT 04562X AND 01284K PT MK31 AT 31 AIRLINE ROAD|201547149|05/06/2015|83|450000|0
A0784-01399-2014-BP01|ADDITIONS & ALTERATIONS TO EXISTING UNITS #01-09,#01-10 AND #01-16 OF PASIR RIS SPORTS AND RECREATION CENTRE TO BECOME SOCIAL SERVICE OFFICE AT 120 PASIR RIS CENTRAL ON LOT 02790X MK 29|201547151|05/06/2015|194|300000|0
E1615-00023-2014-BP01|INSTALLATION OF NEW LIFT TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON LOT 06543N MK04 AT 22B CORNWALL GARDENS|201547153|05/06/2015|3|50000|1
E1615-00034-2014-BP01|INSTALLATION  OF NEW LIFT TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 04050P MK 24 AT 34 JALAN RAYA|201547154|05/06/2015|9|80000|1
A1618-12218-2010-BP01|ADDITIONS & ALTERATIONS FOR BARRIER-FREE ACCESSIBILITY TO THE EXISTING 10-STOREY ULU PANDAN COMMUNITY CENTRE ON LOTS 06259N,  06286P & 06760W MK04 AT 170 GHIM MOH ROAD|201547156|05/06/2015|0|165786|0
A1578-00011-2012-BP01|ERECTION OF A 3-STOREY SUBSTATION AND SINGLE-STOREY PUMPHOUSE WITH UNDERGROUND STORAGE TANK ON LOT 04594L (PT) MK 31 AT AIRPORT BOULEVARD, SINGAPORE CHANGI AIRPORT|201547157|05/06/2015|4904|24960000|0
E3493-00212-2013-ST01|PROPOSED 5 NOS OF HEIGHT LIMIT GANTRY AT SAKRA AVE/JURONG ISLAND AT JURONG ISLAND,  SAKRA AVENUE|201547160|08/06/2015|0|0|1
E2990-00005-2012-ST01|CONSTRUCTION OF ROADS, DRAINS, SEWER AT NEPAL HILL ON LOT(S) 03536X  & 03590M  MK03 AT ONE-NORTH GATEWAY SINGAPORE 000000|201547161|08/06/2015|0|0|1
A1156-00006-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 01681P MK18 AT 67 JALAN CHENGAM|201547162|08/06/2015|382|1000000|1
A0849-00023-2015-BP01|ADDITION AND ALTERATION WORKS TO 23RD STOREY OF AN EXISTING 33-STOREY BUILDING (CHEVRON HOUSE) ON LOT 00513W TS01 AT 30 RAFFLES PLACE|201547163|08/06/2015|21|530000|0
E3493-00599-2014-BP01|ADDITION OF ROOF FOR EXISTING ROOF TERRACE OF FLAT UNIT #12-06 OF THE EXISTING BLOCK OF PART 12-STOREY AND PART 11-STOREY FLATS (TOTAL: 108 UNITS) WITH 2 BASEMENT CARPARKS AND A SWIMMING POOL ON LOT 01978C TS24 AT 8 JALAN MUTIARA|201547165|08/06/2015|80|25000|0
E3187-20061-2012-BP01|RECONSTRUCTION OF EXISTING BUS SHELTER (44241) (B06) ON LOT 01087W, 01088V & 01575C MK14 ALONG BUKIT PANJANG ROAD|201547166|08/06/2015|182|158483|0
A0506-00059-2014-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING TEMPORARY COACH STAND AT CHANGI AIRPORT TERMINAL 1 ON LOT 04592N PT MK 31 AT 80 AIRPORT BOULEVARD|201547167|08/06/2015|246|3500000|0
A1840-00710-2009-BP01|PROPOSED RECONSTRUCTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH SWIMMING POOL AND BASEMENT ON LOT(S) 98404W  MK04 AT 9 LEEDON PARK SINGAPORE 267886,  9 LEEDON PARK SINGAPORE 267886|201547169|08/06/2015|817|1229836|1
E2290-80340-2012-BP01|EXTENSION OF A SINGLE STOREY FACTORY TO AN EXISTING PART 2/PART 3-STOREY DETACHED FACTORY WITH ANCILLARY OFFICE MK 13 ON LOT 02604L AT 22 SENOKO SOUTH ROAD|201547168|08/06/2015|0|0|0
A1365-02242-2007-BP01|PROPOSED ADDITION OF A 38 STY OFFICE BLDG WITH A BASEMENT (TOWER 2) & ADDITION OF 2 STY VIEWING GALLERY & RESTAURANT TO THE EXISTING 60-STY OFFICE BLDG W/ 4 BASEMENTS (TOWER 1 & PODIUM) @ ONE RAFFLES PLACE ON LOTS 00534A, 00535K, 00543M & 00696V TS 1 AT RAFFLES PLACE|201547172|08/06/2015|44796|20000000|0
E1998-01448-2014-BP01|ADDITION OF STEEL ROOF SHEETS  COVER FOR EXISTING LIFTING CRANE EQUIPMENTS ON THE EXISTING OPEN STEEL  CCR REACTOR STRUCTURE IN THE PETROCHEMICAL PLANT - JURONG AROMATICS COMPLEX ON LOT 02965K, MK 34 AT 23 TEMBUSU ROAD (WESTERN ISLANDS PLANNING AREA)|201547174|08/06/2015|0|0|0
A1631-00327-2009-BP01|ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH A NEW ATTIC ON LOT 99423A MK 15 AT 40 GARDENIA ROAD|201547175|08/06/2015|510|640000|1
A0955-00002-2005-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 98603W MK 18 AT 99 COWDRAY AVENUE|201547176|08/06/2015|230|580800|1
A1482-00001-2011-BP01|LIFTS TO EXISTING PEDESTRIAN OVERHEAD BRIDGE NEAR KHATIB MRT STATION ON LOTS 01343L PT, 01342X PT, 01892K PT, 01404W PT & 01491K PT AT YISHUN AVENUE 2|201547180|08/06/2015|236|617116|0
A1278-01330-2013-BP01|ADDITIONS AND ALTERATIONS INVOLVING EXPANSION OF EXISTING COMMERCIAL RESTAURANT AND NEW ORA AT BLOCK B AND CONVERSION OF EXISTING ROOF GARDEN TO ANCILLARY OFFICES AT 4TH STOREY (BLOCK A) ON LOT(S) 00483W PT , 02470L , 02471C PT , 02472M , 02473W PT , 02474V , 05790X PT , 05791L PT , 05792C , 05793M PT , 05796P PT , 05797T , 05798A PT , 08223T , 08224A , 08225K , 08265W , 08266V PT , 08947W , 08948V , 09180M PT , 09209A PT , 09958N PT , 09963L , 98079N PT , 98082N PT , 98429T PT  & 98467X PT  MK17 AT 31 AH HOOD ROAD|201547208|10/06/2015|671|2200000|0
A1262-00074-2012-BP01|ADDITION AND ALTERATION TO THE EXISTING MULTI STOREY CARPARK INVOLVING ADDITION OF LIFT AND ROOF SHELTER ON LOT 05735X MK28 AT BLK 891B TAMPINES AVENUE 8|201547211|10/06/2015|0|0|0
A1262-00069-2012-BP01|ADDITION AND ALTERATION TO THE EXISTING MULTI STOREY CARPARK INVOLVING ADDITION OF LIFT AND ROOF SHELTER ON LOT 01555T MK29 AT BLK 710A PASIR RIS STREET 72|201547213|10/06/2015|0|0|0
A0833-01309-2013-BP01|PROPOSED CHANGE OF USE AND ADDITIONS & ALTERATION TO NEW CATHOLIC AIDS RESPONSE EFFORT (CARE) SHELTER HOME ON LOT 01448K PT MK 14 AT 9 MANDAI ROAD SINGAPORE 779387 (YISHUN PLANNING AREA)|201547214|10/06/2015|817|418000|0
A2082-00114-2008-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A PROVISION FOR A NEW ATTIC AND POOL ON LOTS 02543V MK 27 AT 5 JALAN TANAH PUTEH|201547215|10/06/2015|458|910000|1
A1631-00301-2008-BP01|ERECTION OF A 7-STOREY 10 UNITS APARTMENT BLOCK WITH ROOF TERRACE ON LOT(S) 03643K MK25 AT 36 LORONG 30 GEYLANG SINGAPORE 398369 (GEYLANG PLANNING AREA)|201547216|10/06/2015|1193|3200000|10
A0833-01335-2014-BP01|REPAIR, REDECORATION & REROOFING WORKS TO  5 BLOCKS OF EXISTING HDB FLAT AT BLOCK 205 TO 209 TOA PAYOH NORTH ON LOTS 09021K, 09022N, 09023X, 09024L & 09025C MK17 AT TOA PAYOH NORTH|201547217|10/06/2015|0|533400|0
E1615-00057-2015-BP01|INSTALLATION OF A NEW LIFT TO EXISITNG 3-STOREY INTERMEDIATE DWELLING HOUSE ON LOT 08993V MK 27 AT 4 EASTWOOD GREEN|201547219|10/06/2015|5|50000|0
A1276-00604-2011-BP01|ERECTION OF A 8-STOREY RESIDENTIAL  FLAT (TOTAL :42 UNITS) WITH ATTIC, SWIMMING POOL AND COMMUNAL FACILITIES, AND  MECHANISED CARPARKING SYSTEM ON LOTS 04310M MK 25 AT 28 LORONG 26 GEYLANG|201547221|10/06/2015|2397|7800000|42
A1293-00147-2011-BP01|ERECTION OF 2 UNITS OF 3-STOREY DETACHED DWELLING HOUSES WITH A SWIMMING POOL EACH ON LOT 05257P MK 18 AT 89 NERAM ROAD|201547223|10/06/2015|560|2223000|2
E2829-01025-2013-BP02|RECONSTRUCTION OF EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01448T MK05 AT 38 FABER AVENUE|201547224|10/06/2015|515|1000000|1
A1937-00021-2012-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 03019T  MK06 AT 16 YUNNAN DRIVE 1|201547225|10/06/2015|0|0|1
E2554-00115-2014-BP01|ADDITION AND ALTERATION WORKS TO EXISTING FACTORY ON LOT 02501L MK 13 AT 7 WOODLANDS LINK|201547226|11/06/2015|2985|300000|0
E2393-00008-2014-ST01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING 411 MW COMBINED CYCLE GAS TURBINE POWER PLANT - TUAS (GAS) METERING STATION ON LOT 04332W MK 07 AT 92 TUAS SOUTH AVENUE 3|201547227|11/06/2015|0|0|0
E3795-00120-2010-BP01|ADDITIONS AND ALTERATIONS TO EXISITNG 2-STOREY TERRACE ON LOT(S) 09592L  MK18 AT 11 ELLINGTON SQUARE SINGAPORE 568922|201547228|11/06/2015|0|0|0
A1136-00002-2014-BP01|ADDITION AND ALTERATION TO 4TH STOREY OF EXISTING 14-STOREY RESIDENTIAL / COMMERCIAL BUILDING WITH 3 BASEMENT CARPARKS ON LOT 00376V TS 20 AT 336 RIVER VALLEY ROAD|201547230|11/06/2015|112|100000|0
A1664-00019-2008-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 18-STOREY, 2 BLOCKS OF 16/18 STOREY RESIDENTIAL BUILDING (TOTAL 519 UNITS) AND 1 BLOCK OF MULTI-STOREY CARPARK WITH ROOF GARDEN, ESS & PRECINCT PAVILION AT PUNGGOL EAST CONTRACT 24A ON LOT(S) 01843M  MK21 AT PUNGGOL FIELD,  PUNGGOL EAST|201547232|11/06/2015|538|80500000|0
A0506-00007-2011-BP01|ERECTION OF 7-STOREY HOTEL DEVELOPMENT WITH ANCILLARY FACILITIES AND A 4-STOREY ANNEX CARPARK ON LOT 00472X TS08 AT 2 MAGAZINE ROAD|201547234|11/06/2015|20266|55250000|0
A1038-00007-2011-BP01|ERECTION OF A 8-STOREY MULTIPLE-USER CLEAN AND LIGHT INDUSTRY DEVELOPMENT COMPRISING 287 RAMP-UP FACTORY UNITS WITH A TEMPORARY STAFF CANTEEN ON LOT 05911L MK13 AT WOODLANDS CLOSE, WOODLANDS AVENUE12 AND WOODLANDS DRIVE 64|201547235|11/06/2015|0|0|0
E3187-20038-2012-BP01|RECONSTRUCTION OF BUS SHELTER (84049) (B08) WITH KIOSK ON LOT 10287P & 10289A MK 27 ALONG NEW UPPER CHANGI ROAD|201547236|12/06/2015|94|94018|0
E4151-00004-2013-BP01|ADDITION AND ALTERATION WORKS INVOLVING ADDITION OF 1 NO. SINGLE STOREY SHED AND MODIFICATION WORK TO EXISTING PROCESS BUILDING AT NO. 1C SAKRA AVENUE ON LOT 02311N MK 34|201547239|12/06/2015|48|100000|0
A1445-01162-2011-BP01|ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSES WITH ATTIC AND BASEMENT ON LOTS 99272T & 07061K MK 25 AT 85 & 87 LIM AH WOO ROAD|201547238|12/06/2015|682|1600000|2
E2829-01017-2013-BP01|RECONSTRUCTION OF EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 05552T MK 04 AT 24 LIM TAI SEE WALK|201547240|12/06/2015|533|700000|1
A0814-00003-2015-BP01|ADDITION AND ALTERATION FOR A NEW LIFT TO EXTG 3-STOREY DETACHED DWELLING HOUSE ON LOT 00700K, TS 25 AT 52B NASSIM ROAD|201547241|12/06/2015|824|60000|1
A1566-00205-2014-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SINGLE USER FACTORY COMPLEX (NEW DRUM STORAGE SHED) ON LOT 02028V & 02029P MK 07 AT 1 PIONEER SECTOR 1|201547247|12/06/2015|112|300000|0
E3041-00049-2012-ST01|PROPOSED ROADWORKS AND BUS STOPS AT TPE / PUNGGOL ROAD INTERCHANGE ON LOT(S) 01063A , 01456M , 01599K  & 02272P  MK21 AT TAMPINES EXPRESSWAY SINGAPORE 000000|201547248|15/06/2015|0|0|0
E0097-05182-2008-ST01|PROPOSED ROADS, DRAINS & SEWERS AT TANJONG KLING ROAD (OLD), JALAN BUROH (OLD) AND PIONEER ROAD ON LOT(S) 2395A  & 2446W  MK06 AT JALAN BUROH SINGAPORE 000000,  TANJONG KLING ROAD SINGAPORE 000000|201335832|15/06/2015|0|0|0
A0969-01208-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC WITH OPEN ROOF TERRACE AND A SUNKEN SWIMMING POOL ON LOT 03635W MK18 AT 7 JALAN PELAJAU|201547249|15/06/2015|436|1250000|1
A1994-00019-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK, BLOCK 354 WITH NEW LIFT / LIFT LOBBY AT JURONG EAST AVENUE 1 ON LOTS 06065K , 08112A , 4791K , 4792N , 4793X , 4794L , 4804L , 4805C , 4806M , 6061V , 6062P , 6063T , 6064A , 6327T , 6488M  & 8113K  MK05 AT 354 JURONG EAST AVENUE 1|201547242|15/06/2015|135|280000|0
E1615-00010-2013-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLNG HOUSE WITH AN ATTIC ON LOT 00579M MK 02 AT 112 FARRER ROAD|201547250|15/06/2015|513|800000|1
A1750-00160-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED WITH ATTIC AND SWIMMING POOL ON LOT(S) 01798A MK02 AT 19 DUCHESS ROAD|201547251|15/06/2015|476|1500000|1
A1688-01201-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC ON LOT 99382N MK24 AT 44 BELIMBING AVENUE SINGAPORE 349916 (TOA PAYOH PLANNING AREA)|201547252|15/06/2015|346|888000|1
A1430-12152-2013-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK TO NEW RESIDENT'S COMMITTEE CENTRE AT BLOCK 51 (MSCP) HAVELOCK ROAD (BUKIT MERAH PLANNING AREA) FOR M/S HOUSING DEVELOPMENT BOARD ON LOT(S) 02191K TS24|201547253|15/06/2015|0|144801|0
A1800-30000-2013-BP01|ERECTION OF A SINGLE-USER SPECIAL INDUSTRIAL DEVELOPMENT COMPRISING A SINGLE-STOREY FACTORY WITH A 3-STOREY ANCILLARY OFFICE ON LOT(S) 4595N MK07 PLOT 31 AT TUAS SOUTH STREET 6|201547255|15/06/2015|7029|7000000|0
A1007-00023-2014-BP01|ADDITIONS AND ALTERATIONS AND EXTENSION TO EXISTING EDUCATION CENTRE TO INFANT AND CHILD CARE CENTRE ON LOT 04683A PT MK 06 AT BLOCK 160 AND 161, YUNG PING ROAD, JURONG WEST NEIGHBOURHOOD 1 CONTRACT 25A|201547256|15/06/2015|0|0|0
A1149-01844-2013-BP01|ADDITION AND ALTERATION TO EXISTING 12-STOREY OFFICE BUILDING WITH CAR PARK AT 1ST AND 2ND STOREY AND NEW RESTAURANT AT 1ST STOREY ON LOT 00279C TS 22 AT 171 CHIN SWEE ROAD|201547259|15/06/2015|0|0|0
E2913-01141-2012-BP01|RETENTION OF OUTDOOR REFRESHMENT AREA (ORA) WITH STRUCTURES AND CONTINUED USE OF THE 1ST STOREY SHOP AS TEMPORARY EATING HOUSE TS17 ON LOT 01473L & 02577X AT 452 SERANGOON ROAD|201547260|15/06/2015|87|10000|0
E3296-08014-2014-ST01|PROPOSED INSTALLATION OF STEEL SUPPORT FOR NEW BLENDER HOPPER MACHINEAT 3RD-STOREY SINGLE-USER FACTORY ON LOTS 04159K ,04358C & 04359M, MK07.AT 2 TUAS LINK4,SINGAPORE 637321|201547261|15/06/2015|0|0|0
A1525-00010-2011-BP01|ERECTION OF A BLOCK OF 8-STOREY RAMP-UP MULTI-USER B1 LIGHT INDUSTRIAL FACTORY (TOTAL:238 UNITS) AND WAREHOUSE DEVELOPMENT (TOTAL: 37 UNITS) WITH AN ANCILLARY STAFF CANTEEN AND TWO BLOCKS OF 3-STOREY TERRACE MULTI-USER B1 LIGHT INDUSTRIAL FACTORY (TOTAL: 22 UNITS AND 6 UNITS) AND A SUB-BASEMENT CARPARK (TOTAL NO. OF UNITS:304) ON LOT 17411P MK18 AT ANG MO KIO STREET 62|201547262|15/06/2015|30894|108316712|0
E3580-00001-2015-ST01|PROPOSED SLAB OVER EXISTING TRENCH AT UNIT #02/01-06 COMPACTUS ROOM OF EXISTING 6-STOREY FLATTED FACTORY WITH A BASEMENT ON LOT(S) 6453N  MK05 AT PANDAN CRESCENT SINGAPORE 128477|201547264|15/06/2015|0|0|0
E1356-00060-2014-BP01|INTERNAL ACCESS STAIRCASE & PARTITION WORKS TO 16TH & 17TH STOREY OF EXISTING BUSINESS PARK DEVELOPMENT (GALAXIS) AT FUSIONOPOLIS PLACE ON LOT(S) 05012W , 05013V  & 05019X  MK03 AT 1 FUSIONOPOLIS PLACE|201547266|15/06/2015|0|120000|0
E3361-01367-2014-ST01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SCHOOL CLUSTER CENTRE INVOLVING REPLACEMENT TO EXISTING LINKWAY ON LOT(S) 00461L  MK01 AT 5 HOY FATT ROAD SCHOOL CLUSTER CENTRE SINGAPORE 159505|201547269|15/06/2015|0|0|0
E4026-00001-2014-BP01|ALTERATION/ADDITION TO EXISTING 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE INVOLVING EXTENSION/ALTERATION TO THE EXISTING HOUSE ON LOT 07128A MK 26 AT 165 LORONG L TELOK KURAU|201547270|15/06/2015|71|600000|0
A0571-88002-2013-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 96982N MK 18 AT 34 CHISELHURST GROVE (SERANGOON PLANNING AREA)|201547273|15/06/2015|309|720000|1
A1391-00067-2011-BP01|ERECTION OF A 6-STOREY SINGLE-USER INDUSTRIAL DEVELOPMENT (BUSINESS 1) ON LOT(S) 13180V MK18 AT 6 ANG MO KIO INDUSTRIAL PARK 3|201547274|15/06/2015|16997|17742536|0
E3302-01329-2015-ST01|PROPOSED IMPROVEMENT WORKS TO EXISTING GLASS RAILING IMMEDIATE TO ESCALATOR AT BASEMENT 2 TO 14TH STOREY OF THE EXISTING LIBRARY BUILDING ON LOT(S) 00612M  TS11 AT 100 VICTORIA STREET NATIONAL LIBRARY BUILDING SINGAPORE 188064|201547275|15/06/2015|0|0|0
A1674-00266-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND A SWIMMING POOL TO A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT, SWIMMING POOL AND ATTIC ON LOT 09581M MK 17 AT 98 JALAN BAHASA|201547277|16/06/2015|699|1207580|1
E3206-60013-2014-BP01|ADDITION & ALTERATION AND CHANGE OF USE  FROM THE EXISTING VOID DECK TO NEW EXTENSION OF THE EXISTING CHILDCARE AT HDB BLK 817 UNIT 01-588  TAMPINES STREET 81 ON LOT 2560P MK 28|201547279|16/06/2015|0|60000|0
A1872-00582-2011-BP01|ADDITIONS & ALTERATIONS TO 2 BLOCKS OF EXISTING SINGLE STOREY BUILDINGS WITHIN AN EXISTING SCHOOL COMPLEX (TEMPORARY COMMERCIAL SCHOOL USE) ON LOT 09220C MK 17 AT 9 AH HOOD ROAD|201547281|16/06/2015|264|1350000|0
E3361-01303-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY STRATA-TITLE TERRACE FACTORY INVOLVING ADDITION OF A MEZZANINE FLOOR AND GOODS LIFT ON LOTS 02166M,00734L,00873M,00872C,04324K(PT) ,04326X(PT) & 04333W(PT) MK 6 AT 15 BUROH STREET|201547283|16/06/2015|767|150000|0
