PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0535-01579-2011-BP01|PROPOSED CONSTRUCTION OF COVERED LINKWAY FROM BLKS 2 TO 3, BLKS 5 TO 7 & BLK 4 TO COMMUNITY HALL ON LOT 09135P MK 24 AT LORONG LEW LIAN  (SERANGOON)|ON LOT(S) 09135P  MK24|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|22/05/2014
A0535-01582-2012-BP01|PROPOSED CONSTRUCTION OF COVERED LINKWAY FROM BLKS 2 TO 4 ON LOT 08657K MK 24 AT UPPER ALJUNIED ROAD|ON LOT(S) 08657K  MK24 AT UPPER ALJUNIED ROAD|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|22/05/2014
A0512-00249-2014-BP01|PROPOSED AWNING AT BLOCK 137 ON LOTS 2082C & 1008K MK 19 AT YISHUN RING ROAD|ON LOT(S) 1008K  & 2082C  MK19|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD||11/05/2015
A0512-00250-2014-BP01|PROPOSED COVERED WALKWAY FROM BLOCK 307 TO 306B (MSCP) CANBERRA ROAD ON LOT(S) 3294A  MK13 AT 307TO306B CANBERRA ROAD|ON LOT(S) 3294A  MK13 AT 307TO306B CANBERRA ROAD|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD||18/05/2015
A0512-00254-2015-BP01|PROPOSED DROP-OFF POINT AT BLOCK 715 YISHUN STREET 71 ON LOT(S) 1276P  MK19 AT 715 YISHUN STREET 71|ON LOT(S) 1276P  MK19 AT 715 YISHUN STREET 71|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD||25/05/2015
A0514-01209-2012-BP01|PROPOSED ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC 392X MK 22 AT 15D JALAN GENENG ON LOT(S) 00392X  MK22|ON LOT(S) 00392X  MK22|MR CHIN SIEW GIM S.G. CHIN & ASSOCIATES|ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD|16/05/2014
A0514-01209-2012-BP02|ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC 392X MK 22 AT 15D JALAN GENENG ON LOT(S) 00392X  MK22 AT 15D JALAN GENENG|ON LOT(S) 00392X  MK22 AT 15D JALAN GENENG|MR CHIN SIEW GIM S.G. CHIN & ASSOCIATES|ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD,ER IRUDAYASAMY KANAGARAJ KJ CONSULTANTS|11/05/2015
A0535-01620-2012-BP01|PROPOSED CONSTRUCTION OF A LIFT AND COVERED LINKWAY FROM BLK 54 TELOK BLANGAH DRIVE TO BUS-STOP AT HENDERSON ROAD ON LOT 03580V MK 01|ON LOT(S) 03580V  MK01 AT HENDERSON ROAD,  54 TELOK BLANGAH DRIVE|MR HUANG JIA YEU JYHA LLP|ER MAH GUAN PANG MABA ENGINEERING CONSULTANTS,ER TIONG HOO TUONG CITY-TECH ASSOCIATES|30/05/2014
A0537-00277-2013-BP01|PROPOSED ERECTION OF A 3-STOREY FAMILY ENTERTAINMENT CENTRE WITH TWO ANCILLARY M&E SERVICES BLOCKS ON LOTS 00589N PT, 02375L PT, 02423V PT, 02426A PT, 02430K PT, 02672X PT, 02683A PT, 02996K PT, 02998X PT MK34 AT BEACH VIEW, SENTOSA (SOUTHERN ISLANDS PLAN|ON LOT(S) 00589N , 02375L , 02423V , 02426A , 02430K , 02672X , 02683A , 02996K  & 02998X  MK34 AT 31 BEACH VIEW - SENTOSA SINGAPORE 098008|MR GOH PENG THONG AWP PTE LTD|ER HO KOK KOH BUILDING ENGINEERING CONSULTANTS,ER FOONG KIT KUEN KTP Consultants Pte Ltd|15/05/2014
A0535-01731-2014-BP01|PROPOSED COVERED LINKWAY FROM BLOCK 165 TO 167 & 168 AT BUKIT BATOK WEST AVENUE 8 ON LOT(S) 02108P , 02109T , 02110V  & 04921T  MK10 AT 165,167 BUKIT BATOK WEST AVENUE 8|ON LOT(S) 02108P , 02109T , 02110V  & 04921T  MK10 AT 165,167 BUKIT BATOK WEST AVENUE 8|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|28/05/2015
A0535-01692-2014-BP01|PROPOSED COVERED LINKWAY FROM BLOCK 235 TO 236 ON LOTS 02186V, 02189A, 03783W MK10 AT 235 AND 236 BUKIT BATOK EAST AVENUE 5 (BUKIT BATOK PLANNING AREA)|ON LOT(S) 02186V , 02189A  & 03783W  MK10 AT 235,236 BUKIT BATOK EAST AVENUE 5|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|27/05/2015
A0535-01693-2014-BP01|PROPOSED COVERED LINKWAY FROM BLOCK 159 TO 160 ON LOTS 02085T & 02787N MUKIM 10 AT BUKIT BATOK STREET 11|ON LOT(S) 02085T  & 02878N  MK10|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|26/05/2015
A0535-01695-2014-BP01|PROPOSED EXTENSION OF EXISTING DROP-OFF POINT AT BLOCKS 203, 206 & 208 AT JURONG EAST STREET 21 ON LOT(S) 04172M , 04173W , 04174V , 04175P , 04978T , 04979A , 05600L , 06604M , 08841T  & 08893A  MK05 AT JURONG EAST STREET 21|ON LOT(S) 04172M , 04173W , 04174V , 04175P , 04978T , 04979A , 05600L , 06604M , 08841T  & 08893A  MK05 AT JURONG EAST STREET 21|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|28/05/2015
A0623-00802-2008-BP03|PROPOSED AMENDMENT TO APPROVED CONDOMINIUM DEVELOPMENT HOUSING COMPRISING 1 BLOCK OF 32-STOREY & 1 BLOCK OF 33-STOREY RESIDENTIAL TOWER (TOTAL 281 UNITS) & 3-STOREY STRATA TERRACE UNITS WITH BASEMENT (TOTAL 14 UNITS), BASEMENT CARPARK, SWIMMING POOL & OTHER ANCILLARY FACILITIES ON MK 05 LOT 8341X AT WEST COAST CRESCENT ON LOT(S) 8341X  MK05 AT WEST COAST CRESCENT|ON LOT(S) 8341X  MK05 AT WEST COAST CRESCENT|MR WONG MENG HENG TEAM DESIGN ARCHITECTS PTE LTD|ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES,ER TAN MENG LIANG MTECH CONSULTANTS,ER LEE CHI KUAN LONGROVE & ASSOCIATES PTE LTD,ER TEO KOK JIN KTP CONSULTANTS PTE LTD,ER EIO HOCK SIANG CE CONSULTING ENGINEERS,ER KAM MUN WAI MEINHARDT (SINGAPORE) PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER LIAU WAI KUN KEON CONSULT PTE LTD,ER CHEN YUE FENG KTP CONSULTANTS PTE LTD|09/05/2014
A0562-01101-2011-BP02|AMENDMENT TO APPROVED ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSES EACH WITH A ROOF TERRACE AND SWIMMING POOL (BREAKAWAY FROM SEMI-DETACHED DWELLING HOUSE NO.18) ON LOT 06503X MK 18 AT 20 MAYFLOWER AVENUE (ANG MO KIO PLANNING AREA)|ON LOT(S) 06503X  MK18 AT MAYFLOWER AVENUE|MR CHUA SEE HOE C & C CHARTERED ARCHITECTS|ER CHAN TUCK CHEONG T C SIN & ASSOCIATES|28/05/2014
A0644-00001-2013-BP02|PROPOSED MULTIPLE-USER GENERAL INDUSTRIAL DEVELOPMENT COMPRISING A BLOCK OF 4-STOREY FLATTED FACTORY WITH MEZZANINE FLOOR AT 1ST STOREY (37 UNITS) AND 4 UNITS OF 2-STOREY TERRACE FACTORY WITH MEZZANINE FLOOR (TOTAL 41 UNITS) ON LOT(S) 04724K  MK07 AT TUAS BAY WALK|ON LOT(S) 04724K  MK07 AT TUAS BAY WALK|MR TAN TENG LIP KUNG & TAN ARCHITECTS|ER Gwee Siong Mong Ronnie & Koh Consultants Pte Ltd|19/05/2015
A0625-01399-2012-BP01|PROPOSED RECONSTRUCTION TO THE EXISTING 2-STOREY SEMI-DETACHED WITH NEW ATTIC FLOOR ON LOT 00739K ,MK 16 AT NO 49 JALAN JAMBU AYER, BUKIT TIMAH|ON LOT(S) 00739K  MK16 AT 49 JALAN JAMBU AYER|MR CHNG PENG SOON ONG&ONG PTE LTD|ER EIO HOCK SIANG CE CONSULTING ENGINEERS|20/05/2014
A0610-00333-2012-BP01|PROPOSED REVITALISATION OF SHOPS (ROS) SCHEME FOR BLOCK 821 TO 829 ON LOT 6633N MK 28 AT TAMPINES STREET 81|ON LOT(S) 6633N  MK28 AT TAMPINES STREET 81|MR KOH TIEN BENG KTB ARCHITECTS|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|27/05/2015
A0610-00342-2012-BP01|PROPOSED NEIGHBOURHOOD RENEWAL PROGRAMME (NRP) BATCH 4 FOR BLOCKS 311 TO 316 ON LOTS 04349V, 04337T, 04350M, 04351W, 04288C & 04287L, 06834T & 08633A MK 05 JURONG EAST STREET 32.|ON LOT(S) 04287L , 04288C , 04337T , 04349V , 04350M , 04351W , 06834T  & 08633A  MK05 AT JURONG EAST STREET 32|MR KOH TIEN BENG KTB ARCHITECTS|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|21/05/2014
A0646-00003-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO 4TH STOREY UNITS (#04-11 TO #04-18) INVOLVING INTERNAL PARTITIONING WORKS AND CHANGE OF USE  FROM OFFICE TO TRAINING CENTER AT EXISTING 4/5-STOREY BUILDING ON LOT 00530N TS 21 AT 46 KIM YAM ROAD, SINGAPORE 239351|ON LOT(S) 00530N  MK21|MR CHAN KOK WAY SD ARCHITECTS LLP||12/05/2014
A0650-00106-2013-BP02|PROPOSED NEW ERECTION OF 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 04482K MK 27 AT 527 UPPER EAST COAST ROAD (BEDOK PLANNING AREA)|ON LOT(S) 04482K  MK27 AT 527 UPPER EAST COAST ROAD|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|ER TEO JIN KWEE ATC CONSULTING PTE LTD|21/05/2014
A0650-00466-2011-BP02|PROPOSED ERECTION OF 2 UNITS OF DETACHED HOUSE WITH SWIMMING POOLAND ROOF TERRACE ON LOT 915V MK 21 AT NO 82 GERALD DRIVE|ON LOT(S) 915V  MK21 AT 82 GERALD DRIVE SINGAPORE 799016|MR CHIA HO KHENG FREDDIE H.K. CHIA ARCHITECTS|ER CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS,ER TAN BOON LEONG BL Tan & Associates Consulting and Structural Engineers|27/05/2014
A0659-00207-2011-BP02|PROPOSED AMENDMENT TO APPROVED RESIDENTIAL DEVELOPMENT CONSISTING OF 1 UNIT OF 3-STOREY STRATA LANDED SEMI-DETACHED HOUSE AND 1 BLOCK OF 5-STOREY APARTMENT FLATS (TOTAL 21 UNITS) WITH ATTIC, ROOFTOP SWIMMING POOL AND CARPARKS AT 1ST STOREY LEVEL  ON LOT(S) 02626K , 02627N , 03314T , 07000A  & 07074P  MK23 AT LORONG SALLEH|ON LOT(S) 02626K , 02627N , 03314T , 07000A  & 07074P  MK23 AT LORONG SALLEH|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS|ER TAN BOON LEONG BL Tan & Associates Consulting and Structural Engineers,ER LIM KENG CHUA RICHARD K C LIM & PARTNERS|26/05/2014
A0673-00011-2012-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 3 BLOCKS OF 31/32/33/34 STOREY RESIDENTIAL BUILDING (TOTAL 576 UNITS) WITH MULTI-STOREY CARPARK, PRECINCT PAVILION, ESS AND COMMUNITY FACILITIES AT ANG MO KIO STREET 44  (ANG MO KIO N4 C25) ON LOT(S) 07494N , 07495X , 17078L  & 17079C  MK18 AT ANG MO KIO STREET 44|ON LOT(S) 07494N , 07495X , 17078L  & 17079C  MK18 AT ANG MO KIO STREET 44|MDM SIW FER LIN SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,ER BOEY CHOONG FATT CASE CONSULTANTS,ER Koh Chin Kok Surbana Consultants Pte Ltd|06/05/2014
A0673-00008-2010-BP02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 12 BLOCKS OF 17-STOREY RESIDENTIAL BUILDING (TOTAL 1010 UNITS) AND 2 BLOCKS OF MULTI-STOREY CARPARK WITH COMMERCIAL/COMMUNITY FACILITIES,ESS, PRECINCT PAVILION AND COMMON GREEN AT PUNGGOL WEST C28 ON LOT(S) 00010V , 02226A , 99807T , 99809K  & 99814X  MK21 AT PUNGGOL WAY,  PUNGGOL FIELD|ON LOT(S) 00010V , 02226A , 99807T , 99809K  & 99814X  MK21 AT PUNGGOL WAY,  PUNGGOL FIELD|MDM SIW FER LIN SURBANA INTERNATIONAL CONSULTANTS PTE. LTD|ER KOH BOCK CHENG BC KOH CONSULTING ENGINEERS LLP,ER NG SOON HUA S.H.NG CONSULTANTS,ER NG PENG YUEN SURBANA INTERNATIONAL CONSULTANTS PTE LTD,ER LAU TUNG NGIU DPC CONSULTING ENGINEERS|26/05/2014
A0659-00226-2012-BP02|PROPOSED STRATA-LANDED HOUSING DEVELOPMENT CONSISTING OF 8 UNITS OF 2-STOREY SEMI-DETACHED DWELLING HOUSES WITH ATTIC AND BASEMENT CAR PORCH ON LOT(S) 1016L & 1017C MK 31 AT TOH DRIVE FOR M/S REGAL DEVELOPMENT PTE LTD|ON LOT(S) 1016L  & 1017C  MK31 AT TOH DRIVE|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS|ER TAN BOON LEONG BL Tan & Associates Consulting and Structural Engineers,ER LIM KENG CHUA RICHARD K C LIM & PARTNERS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|19/05/2014
A0707-00004-2011-BP02|PROPOSED ADDITIONS / ALTERATIONS TO THE EXISTING SINGLE-USER PART SINGLE/PART 2-STOREY GENERAL INDUSTRIAL DEVELOPMENT WITH   TEMPORARY ANCILLARY WORKERS' DORMITORY (60 WORKERS) ON LOT(S) 00110C  MK07 AT 20 BENOI PLACE|ON LOT(S) 00110C  MK07 AT 20 BENOI PLACE|MR LEE CHIEW LEONG ARCHIWAVE ARCHITECTS|ER SOH MENG SENG CERICORN CONSULTANTS|02/05/2014
A0677-00001-2013-BP01|PROPOSED RECONSTRUCTION TO EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH NEW ATTIC ON LOT(S) 08207K  MK18 AT 68 COLCHESTER GROVE|ON LOT(S) 08207K  MK18 AT 68 COLCHESTER GROVE|MS CHENG LIANG GEK ART & ARCHITECTURE COLLABORATIVE|ER MOOI KOK KEEN MOOI KOK KEEN CONSULTANTS|28/05/2014
A0704-00503-2013-BP01|PROPOSED ERECTION OF A NEW 3-STOREY BLOCK (ISH BUILDING), A NEW 7-STOREY EXTENSION BUILDING, ADDITIONS & ALTERATIONS TO EXISTING 4-STOREY BLOCK AND DEMOLITION OF EXISTING 3-STOREY BLOCK TO EXISTING TAO NAN SCHOOL ON LOTS 07659W & 05403P MK 26 AT 49 MARINE|ON LOT(S) 05403P  & 07659W  MK26 AT MARINE CRESCENT|MR LIM BOON LENG ADDP ARCHITECTS LLP|ER TAN JIOK SAW JS TAN CONSULTANTS  PTE LTD,ER LOH LEE HIANG CONSULTANTS UNITED|05/05/2015
A0711-02146-2013-BP02|PROPOSED RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AT 53 JALAN KEMUNING  ON LOT 00582C MK 19 SINGAPORE 769775|ON LOT(S) 00582C  MK19|MR HENG SWEE CHOON DESIGN DIMENSION ARCHITECTS|ER GOH YONG CHENG YC GOH CONSULTANTS|21/05/2015
A0711-02167-2013-BP01|PROPOSED ERECTION OF PART SINGLE/ PART 2- STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH OPEN ROOF GARDEN  ON LOT 01713X MK 18 AT 54 JALAN CHENGAM|ON LOT(S) 01713X  MK18 AT 54 JALAN CHENGAM|MR HENG SWEE CHOON DESIGN DIMENSION ARCHITECTS||12/05/2014
A0711-01680-2010-BP03|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY CONSERVED SHOPHOUSE WITH PROVISION OF ROOF MEZZANINE ON LOT(S) 98908  TS16 AT 5  CUFF ROAD|ON LOT(S) 98908  TS16 AT 5  CUFF ROAD|MR HENG SWEE CHOON DESIGN DIMENSION ARCHITECTS|ER MOHAMAD AYUB HASSAN MAHA CONSULTANTS,ER EIO HOCK SIANG CE CONSULTING ENGINEERS|27/05/2014
A0727-00001-2006-BP02|PROPOSED 31 STOREY RESIDENTIAL (86.80%) & COMMERCIAL (13.20%) DEVELOPMENT ON LOT(S) 01418A  TS24 AT TOMLINSON ROAD|ON LOT(S) 01418A  TS24 AT TOMLINSON ROAD|MR WILLIAM KERRY HILL KERRY HILL ARCHITECTS PTE LTD|ER SONG WEE NGEE KTP CONSULTANTS PTE LTD,ER KOH BOCK CHENG BC KOH CONSULTING ENGINEERS LLP, CHUNG VUI LEONG T & T DESIGN CONSULTANTS PTE LTD|23/05/2014
A0743-13640-2013-BP01|PROPOSED ERECTION OF A 7-STOREY BUSINESS PARK DEVELOPMENT WITH A BASEMENT CARPARK ON LOT 10593X PT, PLOT 50, MK 27 AT CHANGI BUSINESS PARK VISTA|ON LOT(S) 10593X  MK27 AT CHANGI BUSINESS PARK VISTA|MS YOUNG KOK INN, GRACE AC CONSORTIUM PTE LTD|ER LIM CHENG HOCK LIM CHENG HOCK ENGRG & CONSULT SVC,ER LAUW SU WEE LSW CONSULTING ENGINEERS PTE LTD|27/05/2014
A0743-13640-2013-BP02|PROPOSED ERECTION OF A 7-STOREY BUSINESS PARK DEVELOPMENT WITH A BASEMENT CARPARK ON LOT 10945N PT, PLOT 50, MK 27 AT CHANGI BUSINESS PARK VISTA|ON LOT(S) 10945N  MK27 AT CHANGI BUSINESS PARK VISTA|MS YOUNG KOK INN, GRACE AC CONSORTIUM PTE LTD|ER LEE TAT SANG T S LEE CIVIL STRUCTURAL ASSOCIATES,ER LIM CHENG HOCK LIM CHENG HOCK ENGRG & CONSULT SVC,ER LAUW SU WEE LSW CONSULTING ENGINEERS PTE LTD,ER EIO HOCK SIANG CE CONSULTING ENGINEERS,ER CHAN TUCK CHEONG T C SIN & ASSOCIATES, KEE CHING GUAN CIVIL AND GEOTECHNICAL ASSOCIATES|25/05/2015
A0714-00001-2012-BP01|PROPOSED ERECTION OF 4 UNITS OF 2-STOREY SEMI-DETACHED DWELLING HOUSES EACH WITH AN ATTIC, BASEMENT & SWIMMING POOL MK16 ON LOT 00444K AT 69 HUA GUAN AVENUE (BUKIT TIMAH PLANNING AREA)|ON LOT(S) 00444K  MK16 AT 69 HUA GUAN AVENUE|MR KIM CHAN WAH ARCHITECTS 8000|ER SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD,ER HUANG ZHAO REN A J JHA PARTNERSHIP|14/05/2014
A0720-00268-2013-BP01|PROPOSED RECONSTRUCTION OF THE EXT'G 2-STOREY CORNER TERRACE DWELLING HOUSE ON LOT(S) 01471W  MK24 AT 103 JALAN MULIA|ON LOT(S) 01471W  MK24 AT 103 JALAN MULIA|MR LOW KIM CHING|ER CHIA CHIN YAN YAN CONSULTANTS|12/05/2014
A0749-00306-2013-BP01|PROPOSED CONVERSION OF EXISTING 1ST STOREY VOID DECK TO FAMILY SERVICE CENTRE ON LOT(S) 02029C  MK28 AT 554 BEDOK NORTH STREET 3|ON LOT(S) 02029C  MK28 AT 554 BEDOK NORTH STREET 3|MR TAN YEN SAN YI ARCHITECTS||05/05/2014
A0772-01209-2013-BP01|PROPOSED TREATMENT PLANT TO EXISTING FACTORY ON LOT 07082N MK 22 AT NO. 50 DEFU LANE 7|ON LOT(S) 07082N  MK22 AT 50 DEFU LANE 7|MS WO MEI LAN LIU & WO ARCHITECTS PTE LTD|ER CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS|22/05/2014
A0768-00007-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT(S) 00939L  MK14 AT 32 HAZEL PARK TERRACE|ON LOT(S) 00939L  MK14 AT 32 HAZEL PARK TERRACE|MR LIM ENG KHOON LIM ENG KHOON ARCHITECTS|ER YEO CHIN IUAN C.I. YEO CONSULTING ENGINEER|23/05/2014
A0775-00003-2013-BP01|PROPOSED ADDITION OF A STUDENT CARE CENTRE AT 3RD STOREY OF JUNYUAN PRIMARY SCHOOL  ON LOT(S) 06126N  MK28 AT 2  TAMPINES STREET 91|ON LOT(S) 06126N  MK28 AT 2  TAMPINES STREET 91|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|ER CHAN SENG TAH STEC CONSULTANTS|19/05/2014
A0768-00001-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY RESTORED BUILDINGS AND USE OF 1ST STOREY AS RESTAURANT AND 2ND STOREY AS OFFICE ON LOT 1001C TS 13 AT 69 AND 70 BUSSORAH STREET|ON LOT(S) 1001C  MK13 AT 69 BUSSORAH STREET,  70 BUSSORAH STREET|MR LIM ENG KHOON LIM ENG KHOON ARCHITECTS|ER YEO CHIN IUAN C.I. YEO CONSULTING ENGINEER|19/05/2014
A0768-00002-2010-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 5-STOREY BUILDING COMPRISING SHOPS, OFFICES AND RESIDENTIAL FLATS TO THE KUWAIT EMBASSY BUILDING ON LOT(S) 01004C  TS28 AT 170 BUKIT TIMAH ROAD|ON LOT(S) 01004C  TS28 AT 170 BUKIT TIMAH ROAD|MR LIM ENG KHOON LIM ENG KHOON ARCHITECTS|ER ANG BOON KIAN ,ER Wu Ruixin WRX Consultants|02/05/2014
A0775-00015-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 03135T MK 17 AT 6 WATTEN CLOSE|ON LOT(S) 03135T  MK17|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|ER CHAN SENG TAH STEC CONSULTANTS|15/05/2014
A0775-00024-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY SINGLE USER FACTORY WITH A MEZZANINE FLOOR ON LOT(S) 03034P  MK07 AT 22  JOO KOON CRESCENT|ON LOT(S) 03034P  MK07 AT 22  JOO KOON CRESCENT|MR HO LIAN YUI @ HO YAN YOY YY ARCHITECTS|ER YAP KEN KUO ALAN YAP ENGINEERS & ASSOCIATES|05/05/2014
A0779-00007-2011-BP01|PROPOSED ADDITIONS AND ALTERATIONS WITH NEW LINKWAY TO THE EXISTING 4 BLOCKS OF 4-STOREY HDB FLATTED FACTORY (BLK 3016, 3017, 3018 & 3019) AT KAMPONG UBI INDUSTRIAL ESTATE ON LOT(S) 03535A  MK23 AT UBI ROAD 1|ON LOT(S) 03535A  MK23 AT UBI ROAD 1|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER CHAN SWEE MENG SCE CONSULTANTS (PTE)|24/05/2014
A0779-91707-2010-BP02|PROPOSED ADDITIONS AND ALTERATIONS INVOLVING ADDITIONS OF A NEW LIFT TO EXISTING 3-STOREY HDB COMMERICAL BUILDING AT BLOCK 290 YISHUN STREET 22 ON LOT(S) 1734V  MK19|ON LOT(S) 1734V  MK19|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER LIM YAN PING SCE CONSULTANTS (PTE)|18/05/2015
A0780-12033-2013-BP01|PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE WITH PROVISION OF A THIRD STOREY ON LOT(S) 03553P  MK23 AT 10B JALAN RIMAU|ON LOT(S) 03553P  MK23 AT 10B JALAN RIMAU|MR LIM CHEE KEONG ARCHITECTS' REGIONAL TEAM|ER CHAN KUAN HOE, JEROME LR2J CONSULTING ENGINEERS|12/05/2014
A0779-16001-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING PART 2 / PART 4-STOREY SINGLE-USER WAREHOUSE ON LOT(S) 00244C  MK07 AT 18 GUL DRIVE|ON LOT(S) 00244C  MK07 AT 18 GUL DRIVE|MR LIM MENG HWA ADDP ARCHITECTS LLP|ER KOH KOK KEANG BECA CARTER HOLLINGS & FERNER (S.E.ASIA)PTE LTD|25/05/2015
A0781-00015-2012-BP01|PROPOSED PHASE 11A CONVENTIONAL HOUSING DEVELOPMENT COMPRISING 23 UNITS OF 3-STOREY TERRACE DWELLING HOUSE EACH WITH AN ATTIC ON LOTS 02017C, 02019W, 02021M, 02259W, 02260C, 02341A & 02737P MK 19 AT JALAN ULU SELETAR / SEMBAWANG ROAD (YISHUN PLANNING AREA)|ON LOT(S) 02017C , 02019W , 02021M , 02259W , 02260C , 02341A  & 02737P  MK19 AT JALAN ULU SELETAR,  SEMBAWANG ROAD|MR WONG TOON JIN ADDP ARCHITECTS LLP|ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,ER YEO PENG YAM PHILIP SPAN CONSULTANTS,ER HOON PANG HUEM DE CONSULTANTS (S) PTE LTD,ER KANG JIANHAN KCL CONSULTANTS PTE LTD,ER CHUA CHIN HIANG GEOALLIANCE CONSULTANTS PTE LTD|27/05/2014
A0781-00016-2012-BP01|PROPOSED PHASE 11B CONVENTIONAL HOUSING DEVELOPMENT COMPRISING 27 UNITS OF 3-STOREY TERRACE DWELLING HOUSE EACH WITH AN ATTIC ON LOTS 02017C, 02019W, 02021M, 02559W, 02260C, 02341A & 02737P MK 19 AT JALAN ULU SELETAR / SEMBAWANG ROAD (YISHUN PLANNING AREA)|ON LOT(S) 02017C , 02019W , 02021M , 02259W , 02260C , 02341A  & 02737P  MK19|MR WONG TOON JIN ADDP ARCHITECTS LLP|ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,ER HOON PANG HUEM DE CONSULTANTS (S) PTE LTD,ER KANG JIANHAN KCL CONSULTANTS PTE LTD|23/05/2014
A0781-00008-2011-BP02|PROPOSED RESIDENTIAL PUBLIC HOUSING DEVELOPMENT COMPRISING OF 4 BLOCKS OF 18-STOREY FLATS, 2 BLOCKS OF PART 16/18-STOREY FLATS (TOTAL:682 UNITS), 1 BLOCK OF MULTI-STOREY CAR PARK WITH LANDSCAPE GARDEN, COMMUNITY FACILITIES, PRECINCT PAVILION & ESS ON MUKI ON LOT(S) 01659X  MK14 AT SEGAR ROAD|ON LOT(S) 01659X  MK14 AT SEGAR ROAD|MR WONG TOON JIN ADDP ARCHITECTS LLP|ER TAN MENG LIANG MTECH CONSULTANTS,ER YEO CHOON CHONG MEINHARDT (SINGAPORE) PTE LTD,Mr TAN KING HEONG TANN DESIGNS & ENGINEERS,ER LEE HIANG MENG PAL CONSULTANCY|21/05/2015
